##SLAVETRADING	##WI-GUINEA-FACTORING
##SLAVETRADE	##WI-GUINEA-FACTORING
##SLAVE-TRADE	##WI-GUINEA-FACTORING
##SMALL-MERCHANT	##WI-SMALL-MERCHANT
##SPECIE	##REMITTANCE-SPECIE
[JAM]	[WIN, JAM]
##STEWARSHIP	##STEWARDSHIP
##STORES	##WI-STORES
##TASK-GANG	##WI-SLAVE-RENTIER
##TRA	##T.R.A
##TRASIENCE	##TRANSIENCE
##VISITORS	##[VISITORS]
##VISITOTS	##[VISITORS]
##WANTED-CASH	##[WANTED-CASH]
##WANTED-CLERK	##[WANTED-WHITELABOUR]
##WANTED-PLANTAINS	##[WANTED-PRODUCE]
##WANTED-PRODUCE	##[WANTED-PRODUCE]
##WANTED-SLAVES	##[WANTED-SLAVES]
##WANTED	##[WANTED]
##WANTS-EMPLOY	##[WANTED-EMPLOYMENT]
##WINDING-UP	##[NOTICE-WINDING-UP]
