:  FRASER, Edward Satchwell 'Jnr'	:  FRASER, Edward S 'Jnr'
:  FRASER, E S	:  FRASER, Edward S
:  ESF	:  FRASER, Edward S 'Jnr'\n
:  FRASER, James Baillie	:  FRASER, James B
:  DEM	:  WIN, DEM
:  VIN	:  WIN, VIN
:  JAM	:  WIN, JAM
:  BER	:  WIN, BER
:  TOB	:  WIN, TOB
:  GUI	:  WIN, GUI
:  GUI-Ess	:  WIN, ESS
:  GUI-Ber	:  WIN, BER
:  Grenada	:  WIN, GRE
:  Demerara	:  WIN, DEM
:  Berbice	:  WIN, BER
:  (DEM)	:  WIN, DEM
:  WIN, Demerara	:  WIN, DEM
:  (JAM, Montego Bay)	:  WIN, JAM, Montego Bay
:  Demerary	:  WIN, DEM
:  ANT	:  WIN, ANT
:  Glasgow	:  SCO, Glasgow
:  London	:  ENG, London
:  Montreal	:  CNA, Montreal
:  Liverpool	:  ENG, Liverpool
:  Amsterdam	:  EUR, Amsterdam
:  Kiltearn	:  SCO, Kiltearn
:  Inverness	:  SCO, Inverness
:  Crantit	:  SCO, Crantit
:  Gateacre	:  ENG, Liverpool, Gateacre
:  Edinburgh	:  SCO, Edinburgh
:  Plymouth	:  ENG, Plymouth
:  Burdsyards	:  SCO, Burdsyards
:  Starsbroek	:  WIN, GUI, DEM, Stabroek
:  WIN, GUI-Dem	:  WIN, GUI, DEM
:  NEV	:  WIN, NEV
:  LUC	:  WIN, LUC
:  CRO	:  WIN, CRO
:  (	:  
:  Tullochcluny	:  SCO, Tullochcluny
:  Canada	:  CNA, Canada
:  Jamaica	:  WIN, Jamaica
:  New York	:  CNA, New York
:  Ormaig	:  SCO, Ormaig
:  Innes House	:  SCO, Innes Ho
:  Falmouth	:  ENG, Falmouth
:  Reelig	:  SCO, Reelig
:  New Amsterdam	:  WIN, GUI, BER, New Amsterdam
:  GRE	:  WIN, GRE
:  Bath	:  ENG, Bath
:  Bristol	:  ENG, Bristol
:  WIN, DEM	:  WIN, GUI, DEM
:  WIN, BER	:  WIN, GUI, BER
:  WIN, ESS	:  WIN, GUI, ESS
:  US,	:  CNA, USA,
:  WIN, JAM-Han	:  WIN, JAM, HAN
:  WIN, JAM-Tre	:  WIN, JAM, TRE
:  Devonshire St	:  ENG, LDN, Devonshire St
:  WIN, Jamaica	:  WIN, JAM

